session_id,target
1,0.0003285669945975874
2,2.853447887899589e-06
3,9.310563655052413e-07
4,6.400684391142723e-07
5,0.00019883721052511283
6,7.079180928215193e-05
7,0.0029401539142088137
8,0.001853859683551909
9,0.00013319768766440488
10,0.003156278408258294
11,0.0001245827687191394
12,1.641748347309592e-05
13,7.943660048515764e-05
14,0.022293960899808618
15,0.0009111315136344078
16,0.0003704333539125156
17,0.0208098013036621
18,1.4592609694810315e-05
19,0.002477187188498295
20,2.0429779394338934e-06
21,0.034784614250428295
22,3.361409617241494e-05
23,0.00026825059488415565
24,0.011891670534514587
25,0.079770383761561
26,1.0322837273464606e-05
27,0.00014082319673443204
28,8.471104188549456e-07
29,0.020572286752655766
30,0.0015431284279555405
31,0.027850119008836816
32,0.017242070274172346
33,0.00012903555024198053
34,1.6620633695191817e-05
35,0.018902700130788437
36,0.0006332146466068317
37,8.27628165299165e-08
38,2.8777242298789632e-06
39,0.00041987305916124196
40,1.1243670707864792e-05
41,0.001767211864721009
42,0.006545604528585761
43,0.00010011641436524653
44,0.00011332978611855664
45,0.13997761824105148
46,0.0002345444760605764
47,0.00035379329706692166
48,6.585965263281363e-05
49,0.00025435859246493843
50,8.121420009006431e-06
51,2.431191177965544e-07
52,0.00011236824220701525
53,0.02286620976257977
54,0.0007715151358473507
55,0.00040309923125704305
56,0.02004983681873714
57,1.6031311764899177e-06
58,1.8443176976540864e-05
59,2.125640891386213e-05
60,2.651196938346533e-06
61,8.62122891557062e-06
62,0.00024356700260055644
63,1.4695893637496642e-05
64,0.0005917934909356647
65,1.116094662515217e-05
66,6.078696793757008e-06
67,0.00016199061321968126
68,0.0016910548089664522
69,0.05701175196426346
70,4.79748712179798e-05
71,0.001633135608143925
72,0.0005379992907869395
73,0.1734330050940228
74,7.291980017299963e-05
75,0.00021749067630899956
76,0.0023575812409190097
77,0.0018509395684672696
78,0.004882342837399312
79,0.00014352349618146338
80,8.880368473065361e-06
81,1.2738364707494567e-05
82,0.0015455723207306858
83,1.2466246513003704e-06
84,0.48008515774037736
85,0.00015475736461501477
86,6.110332476485014e-06
87,0.00611620976278869
88,0.0012625583472273226
89,0.002143071839467549
90,0.05241988213114516
91,3.534961301308341e-05
92,5.361513422606022e-06
93,0.04616834825463034
94,0.00017724411611843354
95,0.09253722747447152
96,3.144709260275757e-06
